MOTIF_SIZE	COUNT
2	17197
3	41994
4	83769
5	88055
6	74559
7	56989
8	40859
9	28517
10	18985
11	12360
12	7914
13	4879
14	3198
15	2261
16	1425
17	1021
18	780
19	572
20	518
21	386
22	311
23	261
24	217
25	194
26	151
27	138
28	121
29	99
30	72
31	62
32	59
33	60
34	42
35	43
36	48
37	58
38	57
39	53
40	37
41	43
42	34
43	56
44	43
45	49
46	44
47	48
48	36
49	24
50	34
51	43
52	31
53	36
54	34
55	25
56	11
57	15
58	8
59	20
60	13
61	20
62	28
63	19
64	12
65	13
66	11
67	22
68	11
69	15
70	13
71	18
72	10
73	16
74	16
75	11
76	17
77	20
78	14
79	16
80	18
81	11
82	15
83	20
84	17
85	12
86	22
87	13
88	10
89	10
90	16
91	23
92	15
93	21
94	17
95	11
96	14
97	16
98	11
99	10
100	12
101	15
102	11
103	14
104	14
105	5
106	3
107	10
108	10
109	6
110	1
111	4
112	4
113	1
114	4
115	8
116	8
117	5
118	5
119	7
120	5
121	7
122	3
123	6
124	5
125	4
126	7
127	12
128	3
129	3
130	5
131	2
133	5
134	4
135	2
136	3
137	2
138	3
139	1
140	1
141	1
142	4
144	5
145	2
146	1
148	3
149	2
150	3
151	2
153	2
155	2
156	1
157	4
159	1
160	1
161	1
163	2
164	1
166	2
167	2
170	2
171	2
172	1
173	1
174	1
175	1
176	4
177	2
178	2
179	1
180	5
181	1
182	2
183	2
184	3
186	1
187	2
189	1
190	4
191	3
192	1
193	4
194	4
195	5
196	5
197	3
198	4
199	3
200	5
201	1
207	1
208	1
209	1
214	1
217	1
218	2
225	1
229	1
235	1
236	1
238	2
239	1
240	1
245	1
247	1
249	1
253	1
257	1
258	1
260	1
262	1
274	2
276	3
277	1
278	1
280	1
283	1
284	2
285	3
286	1
287	2
288	1
290	2
297	1
298	1
301	1
306	1
307	1
308	2
309	1
310	1
311	2
313	1
314	2
316	2
317	1
319	2
322	1
337	1
340	1
341	1
343	1
346	1
347	2
349	2
350	1
352	2
355	1
356	3
